$FF_ResetHorseDo	正在設定隨從馬匹
$FF_notifyInteractDS	當隨從與其他NPC互動時顯示訊息，例如在酒館購買飲料。\n（預設：開啟）
$FF_ModSupport	模組支援
$FF_GenSupport	SOT創世紀
$FF_GenSupportDS	如果創世紀已安裝並處於啟用狀態，則將FriendFlower材料自動新增到隨從物品欄。當隨從在身邊時，這允許創世紀可以建立額外的重新整理。
$FF_NoActor	無角色
$FF_Invalid	無
$FF_NotInScene	不在場景中
$FF_Debug	除錯 (準星指向的NPC)
$FF_DebugTarget	除錯目標
$FF_DebugTargetDS	目前目標角色
$FF_DebugMod	角色模組
$FF_DebugModDS	物件引用(遊戲例項)來源的模組的名稱。
$FF_DebugScene	場景任務
$FF_DebugSceneDS	如果有的話，在NPC上執行場景的任務。
$FF_DebugSceneMod	任務模組
$FF_DebugSceneModDS	如果有的話，目前在NPC上執行場景的任務。
$FF_DebugPackage	目前AI 套件
$FF_DebugPackageDS	目前執行的AI 套件的十六進位制程式碼（如果有）。此程式碼的前兩位數字為模組的載入順序。
$FF_DebugPackMod	AI模組
$FF_DebugPackModDS	目前在這個NPC上執行AI 套件的模組的名稱（如果有）。
$FF_DebugPackQuest	AI 套件任務
$FF_DebugPackQuestDS	目前執行的AI 套件（如果有）所屬的任務。這僅在任務明確擁有AI 套件時顯示資訊。
$FF_ClickPurge	點擊以清除
$FF_DebugExit	退出時清除
$FF_ClickHere	點擊此
$FF_MCMExit	退出MCM以應用
$FF_MCMExitBox	請完全退出MCM以應用這一更改。
$FF_ResetExit	退出時重置
$FF_SetExit	設定為退出
$FF_MCMOk	完成
$FF_ResetImport	清除NPC
$FF_ResetImportDS	從框架中移除目標隨從。匯入的隨從不會被解僱。在進入MCM選單之前，NPC必須位於十字準心下。
$FF_ForceFollower	強制隨從派系
$FF_ForceFollowerDS	強制這個角色加入隨從派系和/或婚姻派系（如果他們有有效的聲音）。支援RDO新增的語音。僅在通常不作為隨從的NPC上使用。注意禁止使用這個來完成一個隨從的任務，或者"修復"一個正常的隨從，可能會導致作為隨從的那個角色出現問題。注意這不是隨從匯入。
$FF_NoForceFollower	不能強迫跟隨
$FF_ImportEn	匯入啟用
$FF_ImportDisDS	在允許和不允許這個NPC由NFF的對話匯入中切換
$FF_ForceMarry	強制結婚/私奔
$FF_ForceMarryDS	強制這個角色加入婚姻派系（如果他們有有效的聲音）。支援RDO新增聲音。如果找不到有效的聲音，你仍然可以和他們私奔(你將無法選擇家/據點)。注意不要在任務NPC上使用，直到你完成了所有的任務。
$FF_NoForceMarry	不能強迫結婚/私奔
$FF_Config	儲存/載入設定檔
$FF_SaveConfig	儲存到檔案
$FF_SaveConfigDS	將全域設定（互動和系統值）儲存到可稍後呼叫的檔案中。不儲存個別隨從的設定。不再需要儲存你的遊戲來生效。
$FF_LoadConfig	從檔案載入
$FF_LoadConfigDS	從以前儲存的檔案載入全域設定（互動和系統值）。
$FF_ConfigLoaded	設定已載入。請退出MCM選單以應用所有的改變。
$FF_ConfigSaved	設定已儲存。
$FF_ConfigError	需要安裝PapyrusUtil才能儲存/載入設定檔。
$FF_Tweaks	儲存/載入 隨從設定
$FF_SaveTweaks	儲存隨從設定
$FF_SaveTweaksDS	將目前所選隨從的設定儲存到JSON檔案中。儲存所有的調整，特徵和基本裝備隱藏特徵。只支援獨立隨從。
$FF_LoadTweaks	載入隨從設定
$FF_LoadTweaksDS	從儲存的JSON檔案中載入到目前選定隨從的設定。
$FF_SaveAllTweaks	儲存所有目前隨從
$FF_SaveAllTweaksDS	將所有目前隨從的設定儲存到單獨的JSON檔案中。只支援獨立隨從。
$FF_AutoSaveTweaks	關閉時自動儲存
$FF_AutoSaveTweaksDS	解散或匯出獨立隨從時自動儲存。
$FF_NotFound	未找到
$FF_TweaksLoaded	隨從設定已載入.
$FF_TweaksSaved	隨從設定已儲存.
$FF_GroupKeys	隨從行動快捷鍵
$FF_KeyCmd	命令隨從熱鍵
$FF_KeyCmdDS	設定用於命令隨從能力的鍵。如果使用熱鍵，可以取消選中施法版本。按「Esc」將清除熱鍵。
$FF_KeyInfo	NPC資訊熱鍵
$FF_KeyInfoDS	設定用於獲取有關NPC資訊的熱鍵，例如等級，職業，生命值等。在目前的隨從上使用時，這會更有用。
$FF_KeyAttack	隨從攻擊熱鍵
$FF_KeyAttackDS	使隨從攻擊在玩家目前目標或在玩家目前視線範圍內的敵人。取消撤退的行為。
$FF_KeyRetreat	隨從撤退熱鍵
$FF_KeyRetreatDS	導致隨從從戰場上撤退。使用第二次取消撤退。持續45秒或直至取消。
$FF_KeyCalm	安撫隨從熱鍵
$FF_KeyCalmDS	設定用於安撫能力的鍵。如果使用熱鍵，可以取消選中施法版本。按「Esc」將清除熱鍵。
$FF_KeyBehindAll	所有隨從在你身後熱鍵
$FF_KeyBehindAllDS	設定一個熱鍵，將所有在你前面的隨從放置在你身後面。將觸發一個影響你身邊所有隨從的短程傳送效果。
$FF_KeyTrade	交易物品熱鍵
$FF_KeyTradeDS	設定用於透過隨從調出交易選單的熱鍵。 這可以遠距離使用。
$FF_KeyClone	克隆裝備熱鍵
$FF_KeyCloneDS	設定用於克隆目標隨從裝備的鍵。這可以遠距離使用。
$FF_KeySell	出售物品熱鍵
$FF_KeySellDS	設定讓隨從為你銷售商品的熱鍵。可以遠距離使用。
$FF_KeyHistoryMenu	歷史選單熱鍵
$FF_KeyHistoryMenuDS	顯示歷史選單，使用SkyUILib，你可以選擇以前的隨從，並傳送到他們所在地點或傳送到你身邊。
$FF_KeyFavoritesMenu	收藏選單熱鍵
$FF_KeyFavoritesMenuDS	顯示收藏選單，使用SkyUILib，在那裡你可以選擇一個之前儲存的收藏的隨從，並傳送到他們所在地點或傳送到你身邊。
$FF_NotifyGetLoot	隨從已搜刮通知
$FF_NotifyGetLootDS	當設定為自動搜刮的隨從拾取物品時，顯示一條訊息。\n（預設：開啟）
$FF_NotifyDropLoot	隨從丟棄戰利品（搜刮）通知
$FF_NotifyDropLootDS	當設定為自動搜刮的隨從丟棄物品時，顯示一條訊息。\n（預設：開啟）
$FF_Yes	是
$FF_No	否
$FF_Core	核心
$FF_RealCount	即時隨從計數
$FF_RealCountDS	即時檢查跟隨從數量（建議啟用）。如果停用，你可以在NFF的額外選單中手動檢查數量。\n（預設：開啟）。
$FF_UseConsole	啟用 ConsoleUtil
$FF_UseConsoleDS	此選項將允許框架檢查ConsoleUtil（LE）或ConsoleUtilSSE。這個可選的SKSE增強只在透過MCM升級隨從和治療師使用動畫時需要。如果停用，並且未安裝ConsoleUtil，則Papyrus中不會有檢查錯誤。
$FF_UseColorMsg	允許SkyUILib彩色通知訊息
$FF_UseColorMsgDS	使用SkyUILib顯示彩色通知訊息。如果你正在使用UI縮放或調整類模組，並且文字對你來說太大，請關閉此選項。\n（預設：關閉)。
$FF_ResetFolQuest	重新開始主要任務
$FF_ResetFolQuestDS	如果在退出MCM選單時選中，這將重新啟動並重置原版隨從任務，並且匯入隨從任務和沒有匯入的隨從將被取消。僅用於故障排除。
$FF_MenuStyle	遊戲內選單風格
$FF_UseEnhMenu	使用增強選單
$FF_UseEnhMenuDS	用來自SkyUILib的增強選單替換命令隨從能力選單。增強選單包含了比普通選單更多的特性。\n（預設：開啟)。
$FF_MenuStopTime	在增強的選單中停止時間流逝
$FF_MenuStopTimeDS	當增強選單處於活動狀態時，時間的流逝將停止。如果NPC在選單系統下移動，這會有一定幫助。\n（預設：關閉）。
$FF_Follower	隨從
$FF_ViewActor	查看
$FF_PickActorDS	微調此隨從的個別設定。
$FF_NoFollowers	無隨從
$FF_FollowerActions	隨從行動
$FF_ShowExtras	顯示額外資訊
$FF_ShowExtrasDS	切換以顯示此頁上的額外資訊。目前只支援製作/工藝冷卻。這將在所有隨從之間保持切換狀態。\n（預設：關閉)
$FF_ToggleBoxFac	允許沙盒
$FF_ToggleBoxFacAlt	允許沙盒模式*
$FF_ToggleBoxFacDS	允許此隨從使用沙盒。這可能會與擁有自己的沙盒功能的隨從即智慧AI隨從或是被設計為在「停機」期間做其它事情的隨從發生衝突。它是基於AI 套件的。\n（預設：開啟）
$FF_SetChatterFol	允許閒聊
$FF_SetChatterFolDS	當在沙盒時，為這個隨從設定閒聊開，關功能。如果主閒聊設定設定為關閉，此設定將被忽略。它是基於AI 套件的。\n（預設：開啟）
$FF_ToggleStealthFac	允許使用潛行AI
$FF_ToggleStealthFacAlt	允許潛行AI*
$FF_ToggleStealthFacDS	允許此隨從使用改進的脫離戰鬥的隱身移動。如果一個隨從在戰鬥之外有自己的潛行包，可能會引起衝突。它是基於AI 套件的。\n（預設：開啟）
$FF_SetLooting	自動搜刮
$FF_SetLootingDS	允許這個隨從自動搜刮某些類型的物品。當玩家沒有移動，沒有潛行，也沒有使用武器/魔法時發生。這是繫結到NFF的隨從包，所以隨從將需要使用它。同時，它還可能增加沙盒啟動時間至10秒或更多，以給她/他們時間來搜刮。
$FF_SendLoot	傳送戰利品（搜刮）到
$FF_SendLootDS	如果啟用了自動搜刮，則可以在將戰利品傳送到隨從的物品欄、隨從儲存空間（如果正在使用）或玩家的保險箱。
$FF_AllowInventory	允許隨從物品欄
$FF_AllowInventoryDS	啟用後，此隨從可使用額外的物品欄空間。這個儲存空間只在隨從處於招募、僱用或匯入狀態時有效；隨從遭解散後，其中所有物品都會送到玩家儲物箱。
$FF_SetRange	設定跟隨範圍
$FF_SetRangeDS	退出戰鬥時隨從跟隨玩家的距離。它是基於AI 套件的。\n（預設：中等）
$FF_ToggleBaseFollow	使用預設跟隨
$FF_ToggleBaseFollowAlt	使用預設跟隨*
$FF_ToggleBaseFollowDS	如果啟用，隨從將不會使用框架的跟隨包。他們將使用他們預設的跟隨包。對於基本的隨從，這是原版包。對於匯入的隨從來說，這是他們附帶的跟隨包。
$FF_ToggleBaseCombat	使用預設戰鬥
$FF_ToggleBaseCombatAlt	使用預設戰鬥*
$FF_ToggleBaseCombatDS	如果啟用，隨從將不使用框架的戰鬥包（包括遠端）或戰鬥風格。相反，他們將使用自己的戰鬥包以及它們附帶的包中定義的風格。對於基本隨從，這是Skyrim的預設戰鬥包列表。
$FF_AnimalInventory	允許物品欄（僅限動物/機械師）
$FF_AnimalInventoryDS	如果啟用，你可以與這個動物/機械師（龍裔）隨從進行交易，就像其他隨從一樣。交易裝備可能會使它們裝備上它，但不會在它們身上顯示。
$FF_LightStyleFac	燭光（隨從）
$FF_LightStyleFacDS	如果教授燭光法術，這是隨從將施放的預設光樣式。你可以將此設定為「請勿施放」，以防止此隨從施放燈光法術。這完全獨立於所有隨從的設定。
$FF_FollowerMount	隨從坐騎
$FF_FollowerMountInvalid	隨從坐騎（下馬以更改）
$FF_ToggleHorseFac	允許使用馬匹
$FF_ToggleHorseFacAlt	允許使用馬匹*
$FF_ToggleHorseFacDS	如果停用，隨從將不會生成馬，但仍使用騎馬包。如果隨從有自己的騎馬包或者自己可以生成馬，請關閉。它是基於AI 套件的。\n（預設：開啟）
$FF_HorseSkinFol	隨從馬皮
$FF_HorseSkinFolDS	為隨從的馬設定皮膚。\n（預設：棕色）
$FF_HorseFXFol	隨從的馬效果
$FF_HorseFXFolDS	對隨從的馬應用效果。\n（預設：無）
$FF_CombatF	隨從戰鬥
$FF_SetRole	戰鬥角色
$FF_SetRoleAlt	戰鬥角色*
$FF_SetRoleDS	設定隨從在戰鬥中的角色。預設情況下，治療師和坦克是此時可能的選擇。但可能會與擁有自己的嘲諷或治療AI 套件的隨從發生衝突。
$FF_TauntSound	嘲諷聲
$FF_TauntSoundDS	當隨從在坦克模式下使用嘲諷時，自訂語音類型。
$FF_Taunt_0	男性（平均）
$FF_Taunt_1	男性（高）
$FF_Taunt_2	男性（低沉）
$FF_Taunt_3	女性（平均）
$FF_Taunt_4	女性（高）
$FF_Taunt_5	女性（低沉）
$FF_Taunt_6	無聲
$FF_SetCStyle	戰鬥風格
$FF_SetCStyleAlt	戰鬥風格*
$FF_SetCStyleDS	改變這個隨從的戰鬥風格。這會影響戰鬥和武器類型選擇（魔法、遠端、近戰和/或參謀）中的進攻、防禦、盤旋和掃射移動/AI。預設為隨從附帶的戰鬥風格。它是基於AI 套件的。
$FF_SetCStyle_0	如果沒有定義樣式，隨從將使用其本地戰鬥風格或原版預設樣式。
$FF_SetCStyle_1	隨從使用傭兵，強調近戰。你的臉上有一種戰士式的表情，攻擊性強於防禦性。
$FF_SetCStyle_2	隨從使用防禦者，強調近戰。他會試圖粘住敵人，但防禦性大於進攻性。
$FF_SetCStyle_3	隨從使用狂戰士，強調攻擊性近戰。每隻手都能揮舞武器。
$FF_SetCStyle_4	隨從使用的是射手，它強調遠端，但可以進行一些近戰。在遠端掃射攻擊中表現出色。
$FF_SetCStyle_5	隨從使用的是遊俠，這是一個不錯的混合遠端和近戰。他們每隻手都能使用武器，但在可能的時候會切換到遠端。
$FF_SetCStyle_6	隨從使用的是魔劍士，混合了近戰和魔法，還有一些道具使用。
$FF_SetCStyle_7	隨從使用的是巫師，這是傳統的進攻魔法，和一些法杖使用。擅長掃射和控制法術。
$FF_SetCStyle_8	隨從正在使用魔術師，這是一個使用法術的法師，但仍偏愛使用道具，可以給予並儲存在他們的物品欄。
$FF_SetCStyle_9	隨從正在使用祭司，這是一個防禦法師，並且可以使用一些法杖。善於控制和防守。
$FF_SetCStyle_10	隨從使用的是平衡，這在進攻，防禦和他們將使用什麼武器方面是相當公平的。
$FF_SetCStyle_11	隨從使用奧術弓箭手，他強調遠端，但能進行一些近戰和魔法。擅長遠端掃射攻擊。
$FF_SetCStyle_12	隨從使用戰爭祭祀，他將強調近戰，但可以在一定程度上使用遠端或魔法，如果有的話。他會試圖粘住敵人，但防禦性大於進攻性。
$FF_SetClass	職業
$FF_SetClassAlt	職業*
$FF_SetClassDS	更改此隨從的職業。職業提供NPC使用的基本技能權重和生命/魔法/耐力權重。它既不提供也不影響專長和法術。如果你改變一個隨從的職業，它將是永久性的。除非在此列表中提供，否則無法還原其原始類型。不在列表中的類別顯示在括號中。需要主控台ConsoleUtil。
$FF_SetClassWarn	*警告*\n\n使用此功能更改隨從的職業是永久性的。不能將具有自訂類別的隨從還原為其原始職業。如果你這樣做了，它會用NFF清除任何技能編輯。它不能用於非獨特角色，因為無法檢測其基本職業。\n\n此訊息將只顯示一次。
$FF_SetCbtRange	設定戰鬥距離
$FF_SetCbtRangeDS	在戰鬥中隨從跟隨玩家的距離。\n（預設：中等）
$FF_DefenseStance	防禦姿態
$FF_DefenseStanceDS	如果啟用，這個隨從在戰鬥中使用防禦姿態。他們只會在他們或玩家被攻擊(戰鬥中被攻擊)時才會攻擊。如果隨從或玩家退出戰鬥，則重置。\n（預設：關閉)
$FF_NoCombat	無戰鬥狀態
$FF_NoCombatDS	迫使隨從完全處於防禦。他們將不會參與戰鬥，也不會停留在玩家附近。如果是治療師角色，他們將繼續治療。他們不能嘲諷。由於玩家隊友的標記，他們仍然會抽出武器。在這種狀態下，他們的行為將毫無生氣/十分呆滯。如果你有一個寵物隨從、或僅作為治療師的隨從，或是馱騾，這將會很有用。\n（預設：關閉)
$FF_WerewolfChange	狼人變換
$FF_WerewolfChangeDS	允許你將這個隨從設定為在戰鬥中受到一定程度的傷害後變為狼人（閾值，如下）。
$FF_WerewolfThresh	狼人變化閾值
$FF_WerewolfThreshDS	在變成狼人之前，隨從必須承受的傷害量(佔總生命值的百分比)。
$FF_EnforceRange	增強戰鬥範圍
$FF_EnforceRangeDS	在戰鬥中，這可以確保隨從在沒有攻擊或施法的情況下保持與玩家的戰鬥距離。這有助於讓隨從離開過道和其他惡作劇。啟用此選項也會將其應用於捕獲的爪牙。
$FF_DamageMult	傷害乘數
$FF_DamageMultDS	改變隨從的傷害倍數，影響他們整體的傷害程度。如果安裝了SPID並且你選擇了魔法模組，也會將這個倍數與毀滅系法術和龍吼的幅度聯絡起來。
$FF_DamageMultFixed	固定傷害倍數
$FF_DamageMultFixedDS	設定這個隨從有一個固定的傷害乘數，保持在你在這個頁面上設定的數值，而不考慮全域傷害乘數。
$FF_DamageMultAll	動態傷害倍數
$FF_DamageMultAllDS	將任何招募的、匯入的或僱傭的隨從的傷害倍率改變為設定值。如果安裝了SPID並且選擇了魔法模組，也會將這個倍數與毀滅系法術和龍吼的幅度聯絡起來。一旦一個隨從被解僱或匯出，他們的倍數就會變回x1.00。你可以在設定下設定一個固定的傷害乘數。
$FF_FollowerPack	隨從系統
$FF_PackHigh	打包優先順序
$FF_PackHighDS	這將設定隨從使用框架包的高優先順序版本。這影響到沙盒，等待，裝配，騎乘，潛行加強，碰撞，跟隨，治療師的角色和戰鬥風格，都會打包替換。如果隨從在大多數（幾乎所有）情況下都不使用這些設定選項，請使用此項。除非有必要，否則不要開啟它，因為它可能會影響其他提供隨從功能的模組。\n（預設：關閉）
$FF_Pack_1	標準（50）
$FF_Pack_2	高 (70)
$FF_Pack_3	非常高 (99)
$FF_AutoImpReset	重置自動匯入/匯出
$FF_AutoImpResetDS	點擊此選項，為這個匯入的隨從重置自動匯入和匯出設定。將再次顯示是/否對話方塊，允許你改變自己的決定。需要自動匯入/匯出功能被啟用。
$FF_AutoImpResetDlg	隨從自動匯入和匯出已被重置。
$FF_FollowerProt	隨從保護
$FF_BaseEssential	角色是必要的 (基本形式)
$FF_BaseNonUnique	角色非必要的 (非獨特)
$FF_SetEssential	設定為必要
$FF_SetEssentialAlt	設定為必要*
$FF_SetEssentialDS	將此隨從設定為必要/重要或相反。\n（預設：關閉）
$FF_Crafting	製作
$FF_CraftMax	當耗盡時
$FF_CraftTime	當可以時
$FF_CraftTorches	可以製作火把
$FF_TorchTime	製作火把
$FF_CraftTorchesAlt	可以製作火把*
$FF_CraftTorchesDS	當沙盒時，如果她的照明不足，允許隨從製作火把。只有當她在鍛爐附近時才會發生這種情況。它的冷卻時間為8（遊戲中）小時。\n（預設：關閉）
$FF_CraftArrows	可以製作箭矢
$FF_ArrowTime	製作箭矢
$FF_CraftArrowsAlt	可以製作箭矢*
$FF_CraftArrowsDS	沙盒模式時，允許隨從製作額外的箭矢（而不是弩矢）品質比玩家可用的低。箭術越高，每次製作的數量就越多。只有當她在鍛爐附近時才會發生這種情況。它的冷卻時間為8小時。\n（預設：關閉）
$FF_CraftBolts	可以製作弩矢
$FF_BoltTime	製作弩矢
$FF_CraftBoltsAlt	可以製作弩矢*
$FF_CraftBoltsDS	沙盒模式時，允許隨從創造鋼弩矢，而不是箭矢。箭術越高，每次製造的數量就越多。只有當她在鍛爐附近時才會發生這種情況。它的冷卻時間為8小時。\n（預設：關閉）
$FF_CraftPotions	可以製作藥劑
$FF_PotionTime	製作藥水
$FF_CraftPotionsAlt	可以製作藥劑*
$FF_CraftPotionsDS	沙盒模式時，允許隨從創造藥劑，他們的能力基於玩家的等級。鍊金術的技能越高，他們一次做的越多。只有當她在鍊金術臺附近時才會發生這種情況。它的冷卻時間為8小時。\n（預設：關閉）
$FF_SharpWeapon	可以鋒利武器
$FF_SharpenTime	鋒利武器
$FF_SharpWeaponAlt	可以鋒利武器*
$FF_SharpWeaponDS	沙盒模式時，允許隨從暫時加強他們的武器，一個小幅的傷害增益效果（+1）。只有當她在磨刀石附近時才會發生這種情況。它有6個小時的冷卻時間。\n（預設：關閉）
$FF_Interaction	互動
$FF_TavernInteract	在酒館喝酒
$FF_TavernInteractAlt	在酒館喝酒*
$FF_TavernInteractDS	沙盒模式時，允許隨從與旅店老闆和酒館女侍互動，讓他們訂購和消費飲料。這是隨機發生的，從他們進入酒館一個小時後甚至更久。隨著時間的推移，他們可以點多種飲料，偶爾會「喝太多」，導致他們在短時間內喝醉。\n（預設：關閉）
$FF_PlayerInterFac	玩家互動
$FF_PlayerInterFacDS	允許此隨從對玩家的某些活動發表評論。僅當它們具有原版/RDO擴充語音並且啟用了「玩家互動」時有效。\n（預設：開啟）
$FF_RegardFac	可以使用崇拜系統
$FF_RegardFacDS	允許隨從使用崇拜系統。
$FF_ResetRegard	重置崇拜值
$FF_ResetRegardDS	點擊此處可重置此隨從的崇拜等級，並將其還原為初始值。
$FF_Stats	基礎統計
$FF_sLevel	等級
$FF_sLevelDS	點擊以將此隨從的級別提升到玩家的級別（需要用於Skyrim的ConsoleUtil或用於SSE的ConsoleUtilSE）才能工作。你也可以使用可選的BAT檔案來執行此操作。瞄準主控台中的隨從並輸入：bat nfflevel。這將允許他們不斷地與玩家等級保持一致，每個獨立隨從只需要做一次。
$FF_sLevelUp	隨從等級已設定。
$FF_sHealth	生命
$FF_sHealthDS	點擊以更改生命值統計的值。這將修改目前值（就像佩戴附魔物品的加成）。
$FF_sMagicka	法力
$FF_sMagickaDS	點擊以更改法力值統計的值。這將修改目前值（就像佩戴附魔物品的加成）。
$FF_sStamina	體力
$FF_sStaminaDS	點擊以更改體力值統計的值。這將修改目前值（就像佩戴附魔物品的加成）。
$FF_sSkillDS	點擊此處可更改所選技能的值。這將修改目前值（就像佩戴附魔物品的加成一樣）。
$FF_sMove	移動速度
$FF_Behavior	行為
$FF_SetAggression	侵略性
$FF_SetAggressionAlt	侵略性*
$FF_SetAggressionDS	隨從的戰鬥攻擊性可能。可能與Followers with specifically designed AI features功能衝突。
$FF_SetAssistance	支援
$FF_SetAssistanceAlt	支援*
$FF_SetAssistanceDS	隨從在戰鬥中會進行支援。可能與Followers with specifically designed AI features功能衝突。
$FF_SetConfidence	自信
$FF_SetConfidenceAlt	自信心*
$FF_SetConfidenceDS	隨從在戰鬥中的勇猛程度。可能與Followers with specifically designed AI features功能衝突。
$FF_SetMorality	道德
$FF_SetMoralityAlt	道德*
$FF_SetMoralityDS	隨從會容忍和支援玩家犯罪的類型。可能與Followers with specifically designed AI features功能衝突。
$FF_RegardHead	隨從崇拜值
$FF_RegardRank	崇拜等級
$FF_RegardPoints	崇拜點數
$FF_FollowerCostHead	隨從佣金
$FF_FollowerCost	週薪
$FF_FollowerCostDS	僱傭這個隨從每週所消耗的金幣。
$FF_FollowerZero	免費
$FF_StatEdit	允許統計編輯
$FF_StatEditDS	切換編輯生命、魔法、耐力和隨從技能的能力。變化不是永久的，直到隨從升級。
$FF_Skills	技能
$FF_pArchery	箭術
$FF_pOneHand	單手武器
$FF_pTwoHand	雙手武器
$FF_pLightArmor	輕甲
$FF_pHeavyArmor	重甲
$FF_pBlocking	格擋
$FF_pAlteration	變換系
$FF_pConjuration	召喚系
$FF_pDestruction	毀滅系
$FF_pEnchanting	附魔
$FF_pIllusion	幻術系
$FF_pRestoration	恢復系
$FF_pAlchemy	鍊金術
$FF_pSneak	潛行
$FF_NoPerks	無技能點
$FF_NoAbilities	無
$FF_AbilitiesBase	基礎法術與能力
$FF_AbilitiesBaseCost	基礎法術與能力 / 消耗
$FF_AbilitiesGranted	教授的 法術與能力
$FF_AbilitiesGrantedCost	教授的 法術與能力 / 消耗
$FF_RemoveSpellDS	點擊以刪除此教授的法術。不會移除屬於專長效果的法術。在處理特定隨從的法術時，請使用你的最佳判斷。
$FF_RemoveConfirm	你確定要刪除這個法術嗎？
$FF_Resist	抗性
$FF_EquipTweaks	裝備行動
$FF_SeranaHoodOff	停用瑟拉娜的兜帽
$FF_SeranaHoodOffDS	啟用這一選項，以防止遊戲不斷地為瑟拉娜製作兜帽。
$FF_ToggleHelmFac	僅在戰鬥中穿戴頭飾
$FF_ToggleHelmFacDS	隨從僅在戰鬥中穿戴頭飾。可能會與具有特定兜帽或頭盔功能的隨從發生衝突（但支援瑟拉娜）。\n（預設：關閉）
$FF_NoHelm	從不穿戴頭飾
$FF_NoHelmDS	隨從從不戴頭飾。對於將頭飾作為預設裝備的一部分並希望隱藏頭飾的隨從更有用。可能會與具有特定兜帽或頭盔功能的隨從發生衝突。\n（預設：關閉）
$FF_askHelm	要將目前裝備的頭部物品\n設為隨從儲存的頭飾嗎？
$FF_ToggleShieldFac	只在戰鬥時佩盾。
$FF_ToggleShieldFacDS	隨從只在戰鬥時佩盾。可能會與具備特殊盾牌裝備功能的隨從衝突\n（預設：關閉）
$FF_ToggleAmmoFac	自動卸箭袋
$FF_ToggleAmmoFacDS	當解除安裝弓或弩時，隨從會移除箭袋。支援模組修改的箭矢和弩矢（至少與任何隨從交換一次這些東西以納入它們）。\n（預設：關閉）
$FF_MenuAmmo	彈藥支援
$FF_MenuAmmoDS	框架支援的彈藥只讀列表。列表適用於所有隨從。
$FF_ToggleWeaponFac	只有在戰鬥中才拿武器
$FF_ToggleWeaponFacDS	隨從只在戰鬥中使用武器，或者如果玩家沒有拔出武器。否則，它們將完全隱藏。\n（預設：關閉）
$FF_RefreshWeaponFac	戰鬥後重新整理武器
$FF_RefreshWeaponFacDS	戰鬥後重新整理隨從的武器（先卸下再重新裝備）。這有助於處理異常的武器問題或隨從不戰鬥的情況，尤其適合使用 2H 武器的隨從\n（預設：關閉）
$FF_BaseOutfit	基礎裝備
$FF_CloneOutfit	複製套裝
$FF_CloneOutfitDS	建立此隨從裝備的副本。請注意只點擊一次，物品將放入你的物品欄。
$FF_OutfitExclude	顯示裝備對話
$FF_OutfitExcludeDS	如果勾選此項，隨從將顯示自訂裝備選單項。否則，它是隱藏的。關閉這個功能並不會讓隨從恢復到原來的裝備。
$FF_OutfitBase	裝備設定（全域）
$FF_SetsUsed	使用中的裝備
$FF_SetsUsedDS	點擊查看所有已經指定了裝備的角色的列表。
$FF_ShowGearSlots	顯示裝備槽位
$FF_ShowGearSlotsDS	如果啟用，將顯示裝備的「身體槽位」（載入頁面較慢）。\n（預設：關閉)
$FF_ViewGear	外套預覽模式
$FF_ViewGearDS	如果啟用，允許你預覽外套，就像你與一個隨從交易一樣。這會將他們的物品欄暫時移入和移出一個容器。\n(預設：關閉)
$FF_CustomHomeLocAdd	非據點點
$FF_CustomHomeLocRem	是據點點
$FF_CustomHomeLocDS	新增或移除這個地點作為適合居家裝備使用的地點。不能更改關鍵字「Player Home」。名稱為「泰姆瑞爾」的地點是通用位置，不能更改。有些區域沒有地點，因此不會受到影響。
$FF_SwitchStyle	套裝切換風格
$FF_SwitchStyleDS	允許你選擇如何為目前的隨從切換裝備。自動根據位置更改。切換到最適合該位置的服裝，如果再次使用，切換回標準/預設。選單為你提供了一套服裝供你選擇，並會一直保留在該選擇中，直到你進行更改。
$FF_SwitchStyle_0	自動切換
$FF_SwitchStyle_1	切換開關
$FF_SwitchStyle_2	選單切換
$FF_SwitchHotkey	套裝切換熱鍵
$FF_SwitchHotkeyDS	允許你自訂一個熱鍵來切換目前隨從的裝備。僅適用於切換開關或選單切換類型。
$FF_SwitchMenu	套裝切換
$FF_SwitchMenuDis	套裝切換(停用)
$FF_AutoGearScan	掃描「套裝切換」區域
$FF_AutoGearScanDS	啟用此選項可以在載入區域中掃描之前的隨從，以將他們的裝備設定為適合玩家所在的地點。如果以前的僱傭兵只有基本裝備或是與你在一起的隨從，則不需要。
$FF_DlgEquip	顯示裝備對話（一般）
$FF_DlgEquipDS	與隨從說話時顯示自訂裝備對話。\n（預設：開啟）
$FF_DlgEquip2	主選單上的裝備對話
$FF_DlgEquip2DS	如果啟用，裝備對話方塊會顯示在主要對話選單上。如果未選中，它將顯示在NFF的子選單中。
$FF_KeySetGear	設定裝備熱鍵
$FF_KeySetGearDS	設定用於為目標隨從設定裝備的鍵。這可以遠距離使用。僅適用於標準服裝。
$FF_KeyRemoveGear	移除裝備熱鍵
$FF_KeyRemoveGearDS	設定用於為目標隨從移除裝備的鍵。這可以遠距離使用。僅適用於標準服裝。
$FF_GearBase	裝備設定（全域）
$FF_RefreshWeapons	重新整理武器
$FF_RefreshWeaponsDS	修復了一個偶發的遊戲錯誤，在載入遊戲時，隨從不能正確識別武器。這只會在遊戲載入時發生，需要額外的一到兩秒的時間來從每個隨從那裡交易武器，歸還並重新裝備它們。\n（預設：開啟)
$FF_ToggleDraw	停用拔出武器
